"Customer ID","Age","Gender","Purchase Amount (USD)","Item Purchased","Category","Size","Color","Season","Location","Frequency of Purchases","Previous Purchases","Shipping Type","Payment Method","Promo Code Used","Subscription Status","Rating Category","Rating"
"1","55","Male","53","Blouse","Clothing","L","Gray","Winter","Kentucky","Fortnightly","14","Express","Venmo","True","True","Low","3.1"
"2","19","Male","64","Sweater","Clothing","L","Maroon","Winter","Maine","Fortnightly","2","Express","Cash","True","True","Low","3.1"
"3","50","Male","73","Jeans","Clothing","S","Maroon","Spring","Massachusetts","Weekly","23","Free Shipping","Credit Card","True","True","Low","3.1"
"4","21","Male","90","Sandals","Footwear","M","Maroon","Spring","Rhode Island","Weekly","49","Next Day Air","Paypal","True","True","Low","3.5"
"5","45","Male","49","Blouse","Clothing","M","Turquoise","Spring","Oregon","Annually","31","Free Shipping","Paypal","True","True","Low","2.7"
"6","46","Male","20","Sneakers","Footwear","M","White","Summer","Wyoming","Weekly","14","Standard","Venmo","True","True","Low","2.9"
"7","63","Male","85","Shirt","Clothing","M","Gray","Fall","Montana","Quarterly","49","Free Shipping","Cash","True","True","Low","3.2"
"8","27","Male","34","Shorts","Clothing","L","Charcoal","Winter","Louisiana","Weekly","19","Free Shipping","Credit Card","True","True","Low","3.2"
"9","26","Male","97","Coat","Outerwear","L","Silver","Summer","West Virginia","Annually","8","Express","Venmo","True","True","Low","2.6"
"10","57","Male","31","Handbag","Accessories","M","Pink","Spring","Missouri","Quarterly","4","2-Day Shipping","Cash","True","True","High","4.8"
"11","53","Male","34","Shoes","Footwear","L","Purple","Fall","Arkansas","Bi-Weekly","26","Store Pickup","Bank Transfer","True","True","Medium","4.1"
"12","30","Male","68","Shorts","Clothing","S","Olive","Winter","Hawaii","Fortnightly","10","Store Pickup","Bank Transfer","True","True","High","4.9"
"13","61","Male","72","Coat","Outerwear","M","Gold","Winter","Delaware","Fortnightly","37","Express","Venmo","True","True","Medium","4.5"
"14","65","Male","51","Dress","Clothing","M","Violet","Spring","New Hampshire","Weekly","31","Express","Paypal","True","True","High","4.7"
"15","64","Male","53","Coat","Outerwear","L","Teal","Winter","New York","Weekly","34","Free Shipping","Debit Card","True","True","High","4.7"
"16","64","Male","81","Skirt","Clothing","M","Teal","Winter","Rhode Island","Monthly","8","Store Pickup","Paypal","True","True","Low","2.8"
"17","25","Male","36","Sunglasses","Accessories","S","Gray","Spring","Alabama","Bi-Weekly","44","Next Day Air","Debit Card","True","True","Medium","4.1"
"18","53","Male","38","Dress","Clothing","Xl","Lavender","Winter","Mississippi","Quarterly","36","2-Day Shipping","Venmo","True","True","High","4.7"
"19","52","Male","48","Sweater","Clothing","S","Black","Summer","Montana","Weekly","17","Free Shipping","Cash","True","True","High","4.6"
